start,duration,exit_start_frames,description
0,62,[],强调并解释
62,138,[],详细解释
200,147,[],打招呼
347,59,[],手指向左前引导
406,68,[],手指向右前引导
474,24,[],待机
498,50,[],交给我吧
548,77,[],指点与引述
625,52,[],展示并引导
677,63,[],展示选择
740,67,[],手指向右侧展示
807,48,[],举起双手欢迎
855,76,[],右手指向右侧逐点阐释
931,45,[],摇头并否定
976,55,[],表示尊敬
1031,70,[],思考并拒绝
1101,61,[],挥动右手确认
1162,19,[],点头
